ที่ดินระหว่าง...เลขที่ดิน..หน้าสำรวจ
ตำบลแวงเครื่องหมายสัญญาณ
อำเภอเมืองเชียงใหม่
จังหวัดเชียงใหม่
เล่ม.......

มาตราส่วน = 1:000

| เลขที่ | พื้นที่ |
| --- | --- |
| 6565 | 3.75 |
| 6566 | 5.9 |
| 6567 | 8.75 |
| 6568 | 11.5 |
| 6569 | 13.75 |
| 6570 | 16.5 |
| 6571 | 18.75 |
| 6572 | 21.5 |
| 6573 | 24.25 |
| 6574 | 27.5 |
| 6575 | 30.75 |
| 6576 | 34.5 |
| 6577 | 38.75 |
| 6578 | 43.5 |
| 6579 | 48.75 |
| 6580 | 54.5 |
| 6581 | 60.75 |
| 6582 | 67.5 |
| 6583 | 74.25 |
| 6584 | 81.5 |
| 6585 | 88.75 |
| 6586 | 96.5 |
| 6587 | 104.75 |
| 6588 | 113.5 |
| 6589 | 122.75 |
| 6590 | 132.5 |
| 6591 | 142.75 |
| 6592 | 153.5 |
| 6593 | 164.75 |
| 6594 | 176.5 |
| 6595 | 188.75 |
| 6596 | 201.5 |
| 6597 | 214.75 |
| 6598 | 228.5 |
| 6599 | 242.75 |
| 6600 | 257.5 |
