# แผนที่

## มาตราส่วนในระหว่าง ๑:๒๐๐- ๑๐๐

### กรุงเทพมหานคร

| ชื่อถนน/สถานที่ | มาตราส่วน |
| --- | --- |
| หมู่บ้านพญาไท | 2567 |
| หมู่บ้านบางพลี | 2567 |
| หมู่บ้านบางนา | 2567 |
| หมู่บ้านบางปะกง | 2567 |
| หมู่บ้านบางรัก | 2567 |
| หมู่บ้านบางเขน | 2567 |
| หมู่บ้านบางกะปิ | 2567 |
| หมู่บ้านบางแค | 2567 |
| หมู่บ้านบางค่ำ | 2567 |
| หมู่บ้านบางตลาด | 2567 |
| หมู่บ้านบางแก้ว | 2567 |
| หมู่บ้านบางกล้วย | 2567 |
| หมู่บ้านบางใหญ่ | 2567 |
| หมู่บ้านบางเมือง | 2567 |
| หมู่บ้านบางพูด | 2567 |
| หมู่บ้านบางลำภู | 2567 |
| หมู่บ้านบางลูกไก่ | 2567 |
| หมู่บ้านบางแม่น้ำ | 2567 |
| หมู่บ้านบางปลา | 2567 |
| หมู่บ้านบางโพธิ | 2567 |
| หมู่บ้านบางระจัน | 2567 |
| หมู่บ้านบางสาม | 2567 |
| หมู่บ้านบางศิลา | 2567 |
| หมู่บ้านบางเสาธง | 2567 |
| หมู่บ้านบางวัด | 2567 |
| หมู่บ้านบางขวาง | 2567 |
| หมู่บ้านบางยี่ขัน | 2567 |

### หมายเหตุ:
- กรุงเทพมหานครเป็นเขตกรุงเทพมหานครของประเทศไทย.
- กรุงเทพมหานครมีการแบ่งพื้นที่ออกเป็นหลายส่วน.
- แผนที่แสดงตำแหน่งของหมู่บ้านและถนนในกรุงเทพมหานคร.
