### มาตราส่วนในระหว่าง
- ๑ : ๐๐๐

### มาตราส่วน
- ๑ : 9000

## กรุงเทพมหานคร
| ถนน | แขวง |
| --- | --- |
| จุฬาภรณ์ | เขตบางรัก |
| ปิยพิมพ์ | เขตบางรัก |
| สี่ล้านหนึ่งแสนหกหมื่นแปดพันบาทถ้วน | เขตบางรัก |
| ศูนย์การค้า | เขตบางรัก |
| ท่าเรือ | เขตบางรัก |
| สะพานกรุงเทพ | เขตบางรัก |
| แม่น้ำเจ้าพระยา | เขตบางรัก |
| คลองตันเหนือ | เขตวัฒนา |
| บริษัท | เขตวัฒนา |
| บ้านพัก | เขตวัฒนา |
| โรงเรียน | เขตวัฒนา |
| โรงพยาบาล | เขตวัฒนา |
| สถานีรถไฟ | เขตวัฒนา |
| ตลาด | เขตวัฒนา |
| ร้านค้าปลีก | เขตวัฒนา |
| ร้านอาหาร | เขตวัฒนา |
| โรงแรม | เขตวัฒนา |
| ธนาคาร | เขตวัฒนา |
| สำนักงานใหญ่ | เขตวัฒนา |
| อาคารพาณิชย์ | เขตวัฒนา |
| คอนโดมิเนียม | เขตวัฒนา |
| ที่อยู่อาศัย | เขตวัฒนา |
| สนามกีฬา | เขตวัฒนา |
| โรงเรียน | เขตวัฒนา |
| โรงพยาบาล | เขตวัฒนา |
| สถานีรถไฟ | เขตวัฒนา |
| ตลาด | เขตวัฒนา |
| ร้านค้าปลีก | เขตวัฒนา |
| ร้านอาหาร | เขตวัฒนา |
| โรงแรม | เขตวัฒนา |
| ธนาคาร | เขตวัฒนา |
| สำนักงานใหญ่ | เขตวัฒนา |
| อาคารพาณิชย์ | เขตวัฒนา |
| คอนโดมิเนียม | เขตวัฒนา |
| ที่อยู่อาศัย | เขตวัฒนา |
| สนามกีฬา | เขตวัฒนา |
